id,mean,size
1,324.2,13284
2,345.8,13284
3,350.8,13284
4,374.8,13284
5,378.5,13284
6,422.4,13284
7,399.2,13284
8,417.1,13284
9,330.8,13697
10,349.4,13697
11,354,13697
12,375.3,13697
13,380.6,13697
14,412.3,13697
15,403.5,13697
16,435.9,13697
17,326.4,14443
18,354.1,14443
19,357.9,14443
20,385,14443
21,407,14443
22,418.6,14443
23,421.3,14443
24,452.7,14443
25,326.3,15186
26,360.7,15186
27,374.1,15186
28,409,15186
29,403.4,15186
30,433.3,15186
31,438.9,15186
32,470.3,15186
33,331.5,15573
34,369,15573
35,371.3,15573
36,418.3,15573
37,415.7,15573
38,456.2,15573
39,450.6,15573
40,486.6,15573
41,337.4,16537
42,375.2,16537
43,379,16537
44,423.6,16537
45,427.8,16537
46,458.7,16537
47,460.1,16537
48,512.2,16537
49,333.7,17114
50,399.3,17114
51,381.5,17114
52,429.7,17114
53,428,17114
54,474.4,17114
55,482.5,17114
56,530.2,17114
57,338.5,18046
58,382.7,18046
59,384.3,18046
60,438.6,18046
61,445,18046
62,495.2,18046
63,489.1,18046
64,544.7,18046
65,334.6,18473
66,386.8,18473
67,381.5,18473
68,457.4,18473
69,446.3,18473
70,507.6,18473
71,508.6,18473
72,556.8,18473
73,329.7,19431
74,390.1,19431
75,390.8,19431
76,450.4,19431
77,475,19431
78,520,19431
79,517.2,19431
80,576.5,19431
81,331.8,20281
82,394.2,20281
83,398,20281
84,459.4,20281
85,467.8,20281
86,534.2,20281
87,531.8,20281
88,588.5,20281
89,321,21159
90,403,21159
91,381,21159
92,446.7,21159
93,451.1,21159
94,520.5,21159
95,514.6,21159
96,591.9,21159
97,319.1,22072
98,392.4,22072
99,385.3,22072
100,458,22072
101,460.2,22072
102,536.7,22072
103,544.8,22072
104,605.3,22072
105,319.3,23093
106,394.9,23093
107,391.5,23093
108,468.7,23093
109,473.1,23093
110,548.6,23093
111,550.1,23093
112,626.9,23093
113,317.1,24072
114,404.5,24072
115,395.9,24072
116,500.1,24072
117,487.8,24072
118,570.3,24072
119,567.6,24072
120,649.6,24072
121,319,25126
122,405.2,25126
123,404,25126
124,496.4,25126
125,500.9,25126
126,586.7,25126
127,602.4,25126
128,678.2,25126
129,321,25909
130,412,25909
131,410.4,25909
132,507.6,25909
133,510.5,25909
134,605.2,25909
135,604.3,25909
136,699.9,25909
137,321.2,26852
138,423.9,26852
139,434,26852
140,541.4,26852
141,527.7,26852
142,635.9,26852
143,627.8,26852
144,726.8,26852
145,322.8,28134
146,428.2,28134
147,425.2,28134
148,532.3,28134
149,541.9,28134
150,664.1,28134
151,654.5,28134
152,758.5,28134
153,324.6,29252
154,447.7,29252
155,453.5,29252
156,568.3,29252
157,557.4,29252
158,667.5,29252
159,660.7,29252
160,793.8,29252
161,327.8,30426
162,445.9,30426
163,439.4,30426
164,561.6,30426
165,570,30426
166,693.1,30426
167,696.6,30426
168,810,30426
169,329.8,31789
170,454,31789
171,449.1,31789
172,594.3,31789
173,584.3,31789
174,708.2,31789
175,706.1,31789
176,838,31789
177,328.5,33009
178,466.7,33009
179,461.6,33009
180,594,33009
181,603.8,33009
182,748.7,33009
183,736,33009
184,875,33009
185,330.6,34305
186,467.1,34305
187,464,34305
