,id,mean,size,label,weight
0,1,2311,32713,0,100
1,2,2303,36346,0,100
2,3,2286,32371,0,100
3,4,2271,32643,0,100
4,5,2545,36865,0,100
5,6,4602,116900,1,100
6,7,2280,33698,0,100
7,8,1937,44023,0,100
8,9,2046,48048,0,100
9,10,1874,93629,0,100
10,11,1815,36317,1,100
11,12,2056,26815,0,100
12,13,1919,26815,0,100
13,14,2101,26815,0,100
14,15,2262,34249,0,100
15,16,2289,37914,0,100
16,17,2292,34040,0,100
17,18,2301,34661,0,100
18,19,2338,38431,0,100
19,20,4825,144461,1,100
20,21,2321,35261,1,100
21,22,1931,46443,0,100
22,23,1933,48681,0,100
23,24,2034,96212,0,100
24,25,1935,38486,0,100
25,26,1998,28600,0,100
26,27,1931,28600,0,100
27,28,2114,28600,0,100
28,29,2205,35852,0,100
29,30,2303,39767,0,100
30,31,2293,35554,0,100
31,32,2337,36089,0,100
32,33,2357,40173,1,100
33,34,4984,152779,1,100
34,35,2338,36866,0,100
35,36,1961,49197,0,100
36,37,1937,57044,0,100
37,38,1957,104707,0,100
38,39,1903,40562,0,100
39,40,2049,29603,0,100
40,41,2066,29603,0,100
41,42,2060,29603,0,100
42,43,2295,38802,1,100
43,44,2307,41574,0,100
44,45,2346,37311,0,100
45,46,2342,37833,0,100
46,47,2390,41736,0,100
47,48,5144,153840,1,100
48,49,2346,38770,0,100
49,50,1979,51638,0,100
50,51,1950,60597,0,100
51,52,1932,110942,0,100
52,53,1921,42849,0,100
53,54,2093,30376,0,100
54,55,2065,30376,0,100
55,56,2075,30376,0,100
56,57,2313,39947,0,100
57,58,2355,43375,1,100
58,59,2350,38924,0,100
59,60,2392,39496,0,100
60,61,2428,43373,0,100
61,62,5351,160171,1,100
62,63,2392,40469,0,100
63,64,1961,54525,0,100
64,65,1948,62819,0,100
65,66,1945,115089,0,100
66,67,1947,44725,0,100
67,68,2079,32445,0,100
68,69,2079,32445,0,100
69,70,2104,32445,0,100
70,71,2327,42386,0,100
71,72,2405,45187,1,100
72,73,2404,41151,0,100
73,74,2406,41404,1,100
74,75,2466,45463,1,100
75,76,5428,150545,1,100
76,77,2406,42499,0,100
77,78,1956,57119,0,100
78,79,1969,61096,0,100
79,80,1952,121969,0,100
80,81,1935,47048,0,100
81,82,2116,34271,0,100
82,83,2116,34271,0,100
83,84,2120,34271,0,100
84,85,2363,45036,0,100
85,86,2424,47073,0,100
86,87,2427,42805,0,100
87,88,2427,43229,1,100
88,89,2481,47038,0,100
89,90,5415,180896,1,100
90,91,2434,44446,0,100
91,92,1958,60025,0,100
92,93,1948,71828,0,100
93,94,1972,129088,0,100
94,95,1927,48984,1,100
95,96,2132,35749,0,100
96,97,2107,35749,0,100
97,98,2127,35749,0,100
98,99,2373,45786,1,100
99,100,2406,48739,0,100
100,101,2451,44929,0,100
101,102,2460,45327,0,100
102,103,2515,48850,1,100
103,104,5988,184327,1,100
104,105,2455,46518,0,100
105,106,1979,63201,0,100
106,107,1966,76225,0,100
107,108,2017,134636,0,100
108,109,1936,51263,0,100
109,110,1985,37218,0,100
110,111,1978,37218,0,100
111,112,1966,37218,0,100
112,113,2247,47382,0,100
113,114,2309,50796,0,100
114,115,2352,46750,0,100
115,116,2388,47267,0,100
116,117,2399,50709,1,100
117,118,5990,199765,1,100
118,119,2344,48588,0,100
119,120,1807,65780,0,100
120,121,1813,79955,0,100
121,122,1807,141575,0,100
122,123,1769,53590,0,100
123,124,1987,39071,0,100
124,125,1990,39071,0,100
125,126,1992,39071,0,100
126,127,2244,50387,0,100
127,128,2318,52736,0,100
128,129,2366,48818,0,100
129,130,2386,49498,0,100
130,131,2428,52555,0,100
131,132,6202,207909,1,100
132,133,2411,50847,0,100
133,134,1825,69005,0,100
134,135,1815,84271,0,100
135,136,1829,149351,0,100
136,137,1760,56016,0,100
137,138,2029,41127,0,100
138,139,2001,41127,0,100
139,140,1988,41127,0,100
140,141,2286,52055,1,100
141,142,2336,54547,1,100
142,143,2395,50672,0,100
143,144,2415,51498,1,100
144,145,2450,54430,1,100
145,146,6423,204688,1,100
