size,mean
0.32713,2.311
0.36346,2.303
0.32371,2.286
0.32643,2.271
0.36865,2.545
1.169,4.602
0.33698,2.28
0.44023,1.937
0.48048,2.046
0.93629,1.874
0.36317,1.815
0.26815,2.056
0.26815,1.919
0.26815,2.101
0.34249,2.262
0.37914,2.289
0.3404,2.292
0.34661,2.301
0.38431,2.338
1.44461,4.825
0.35261,2.321
0.46443,1.931
0.48681,1.933
0.96212,2.034
0.38486,1.935
0.286,1.998
0.286,1.931
0.286,2.114
0.35852,2.205
0.39767,2.303
0.35554,2.293
0.36089,2.337
0.40173,2.357
1.52779,4.984
0.36866,2.338
0.49197,1.961
0.57044,1.937
1.04707,1.957
0.40562,1.903
0.29603,2.049
0.29603,2.066
0.29603,2.06
0.38802,2.295
0.41574,2.307
0.37311,2.346
0.37833,2.342
0.41736,2.39
1.5384,5.144
0.3877,2.346
0.51638,1.979
0.60597,1.95
1.10942,1.932
0.42849,1.921
0.30376,2.093
0.30376,2.065
0.30376,2.075
0.39947,2.313
0.43375,2.355
0.38924,2.35
0.39496,2.392
0.43373,2.428
1.60171,5.351
0.40469,2.392
0.54525,1.961
0.62819,1.948
1.15089,1.945
0.44725,1.947
0.32445,2.079
0.32445,2.079
0.32445,2.104
0.42386,2.327
0.45187,2.405
0.41151,2.404
0.41404,2.406
0.45463,2.466
1.50545,5.428
0.42499,2.406
0.57119,1.956
0.61096,1.969
1.21969,1.952
0.47048,1.935
0.34271,2.116
0.34271,2.116
0.34271,2.12
0.45036,2.363
0.47073,2.424
0.42805,2.427
0.43229,2.427
0.47038,2.481
1.80896,5.415
0.44446,2.434
0.60025,1.958
0.71828,1.948
1.29088,1.972
0.48984,1.927
0.35749,2.132
0.35749,2.107
0.35749,2.127
0.45786,2.373
0.48739,2.406
0.44929,2.451
0.45327,2.46
0.4885,2.515
1.84327,5.988
0.46518,2.455
0.63201,1.979
0.76225,1.966
1.34636,2.017
0.51263,1.936
0.37218,1.985
0.37218,1.978
0.37218,1.966
0.47382,2.247
0.50796,2.309
0.4675,2.352
0.47267,2.388
0.50709,2.399
1.99765,5.99
0.48588,2.344
0.6578,1.807
0.79955,1.813
1.41575,1.807
0.5359,1.769
0.39071,1.987
0.39071,1.99
0.39071,1.992
0.50387,2.244
0.52736,2.318
0.48818,2.366
0.49498,2.386
0.52555,2.428
2.07909,6.202
0.50847,2.411
0.69005,1.825
0.84271,1.815
1.49351,1.829
0.56016,1.76
0.41127,2.029
0.41127,2.001
0.41127,1.988
0.52055,2.286
0.54547,2.336
0.50672,2.395
0.51498,2.415
0.5443,2.45
2.04688,6.423
0.52676,2.402
0.7234,1.829
0.87558,1.871
1.55443,1.86
0.58478,1.824
0.42406,2.056
0.42406,2.095
0.42406,2.077
0.547,2.357
0.56846,2.44
0.52635,2.5
0.53584,2.516
0.55985,2.533
2.24055,6.788
0.54716,2.471
0.75256,1.894
0.93441,1.867
1.62986,1.869
0.60826,1.818
0.44557,2.072
0.44557,2.095
0.44557,2.077
0.56237,2.398
0.58803,2.458
0.54933,2.49
0.55779,2.53
0.58559,2.588
2.28871,6.971
0.57527,2.512
0.78852,1.901
0.97732,1.9
1.71269,1.897
0.63689,1.841
0.46767,2.11
0.46767,2.107
0.46767,2.102
0.58936,2.54
0.60761,2.54
0.5707,2.522
0.57392,2.56
0.60327,2.626
2.38574,7.192
0.59532,2.551
0.81577,1.889
1.01525,1.893
1.7794,1.881
0.65644,1.827
0.48419,2.09
0.48419,2.122
0.48419,2.109
0.61604,2.448
0.62868,2.54
0.59212,2.603
0.59748,2.61
0.61971,2.658
2.46673,7.425
0.61789,2.579
0.85222,1.911
1.06936,1.907
1.85875,1.898
0.68177,1.863
0.50424,2.134
0.50424,2.141
0.50424,2.146
0.63942,2.482
0.65032,2.565
0.61377,2.595
0.62296,2.639
0.63723,2.705
2.49283,7.752
0.64118,2.616
0.8857,1.916
1.11191,1.92
1.93561,1.905
0.70737,1.856
0.52242,2.131
0.52242,2.146
0.52242,2.13
0.65284,2.493
0.67153,2.583
0.62889,2.653
0.63595,2.668
0.65538,2.728
2.5864,7.976
0.65797,2.664
0.92079,1.913
1.13325,1.939
2.01797,1.901
0.73236,1.843
0.53406,2.153
0.53406,2.16
0.53406,2.177
0.67558,2.547
0.6918,2.612
0.64831,2.695
0.65698,2.719
0.68097,2.772
2.65875,8.199
0.67454,2.72
0.95765,1.923
1.21562,1.926
2.07864,1.925
0.75922,1.848
0.5447,2.189
0.5447,2.183
0.5447,2.193
0.69997,2.58
0.71688,2.653
0.66544,2.756
0.67135,2.769
0.70011,2.83
2.70102,8.335
0.69355,2.743
0.99011,1.95
1.26256,1.926
2.17035,1.932
0.78408,1.85
0.55054,2.2
0.55054,2.196
0.55054,2.21
0.71028,2.621
0.73563,2.69
0.67723,2.819
0.68185,2.785
0.71602,2.885
2.72617,8.507
0.70318,2.761
1.03097,1.938
1.31679,1.94
2.27194,1.948
0.81358,1.864
0.55161,2.223
0.55161,2.253
0.55161,2.227
0.74607,2.616
0.75589,2.735
0.65156,2.806
0.65818,2.829
0.74531,2.913
1.59333,8.637
0.6686,2.819
1.06636,1.975
1.3746,1.956
2.21179,1.93
0.84236,1.871
0.48793,2.262
0.48793,2.232
0.48793,2.22
0.75822,2.674
0.78169,2.778
0.72064,2.887
0.7276,2.892
0.75544,2.958
2.91076,8.959
0.75249,2.858
1.10331,1.969
1.4276,1.949
2.4083,1.94
0.86983,1.866
0.5881,2.262
0.5881,2.244
0.5881,2.257
